99Liu_Si [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Fe [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Si [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Fe [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Si [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Si [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Si [wt%]LIQUID+AL13FE4+FCC_A1,99Liu_Fe [wt%] LIQUID+AL13FE4+FCC_A1,NucleoScheil_Si [wt%],NucleoScheil_Fe [wt%],Scheil1_Si [wt%],Scheil1_Fe [wt%]
,,,,,,,,,,,,,,7.953871746,1.412593752,6.883516135,1.726984156
,,,,,,,,,,,,,,8.065704992,1.4349092,6.882532351,1.723742977
,,,,,,,,,,,,,,8.07990864,1.437744331,6.881549885,1.72050653
,,,,,,,,,,,,,,8.094108266,1.440579536,6.880568738,1.717274813
,,,,,,,,,,,,,,8.108303946,1.443414534,6.879588905,1.714047815
,,,,,,,,,,,,,,8.122495666,1.446249391,6.878610386,1.710825535
,,,,,,,,,,,,,,8.136683454,1.449084025,6.877633183,1.707607974
,,,,,,,,,,,,,,8.15086727,1.451918508,6.876657294,1.704395123
,,,,,,,,,,,,,,8.165047137,1.454752832,6.875682715,1.70118698
,,,,,,,,,,,,,,8.17922306,1.457586919,6.874709451,1.697983543
,,,,,,,,,,,,,,8.193395022,1.460420844,6.873737494,1.694784799
,,,,,,,,,,,,,,8.207562801,1.463255309,6.872766848,1.691590753
,,,,,,,,,,,,,,8.221726616,1.466089602,6.87179751,1.688401398
,,,,,,,,,,,,,,8.235886472,1.468923718,6.870829482,1.685216734
,,,,,,,,,,,,,,8.250042387,1.471757579,6.869862758,1.682036747
